time,altitude,latitude,longitude,chlor_a
UTC,m,degrees_north,degrees_east,mg m^-3
2020-10-01T12:00:00Z,0.0,31.40625,-80.90624999999999,1.281722
2020-10-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.0834754
2020-10-01T12:00:00Z,0.0,31.40625,-80.83125,1.0472147
2020-10-01T12:00:00Z,0.0,31.36875,-80.94375,1.5167931
2020-10-01T12:00:00Z,0.0,31.36875,-80.90624999999999,1.2243675
2020-10-01T12:00:00Z,0.0,31.36875,-80.86874999999999,1.0963733
2020-10-01T12:00:00Z,0.0,31.36875,-80.83125,1.1057739
2020-11-01T12:00:00Z,0.0,31.40625,-80.94375,1.8664917
2020-11-01T12:00:00Z,0.0,31.40625,-80.90624999999999,1.7675213
2020-11-01T12:00:00Z,0.0,31.40625,-80.86874999999999,1.4697458
2020-11-01T12:00:00Z,0.0,31.40625,-80.83125,1.334134
