time,latitude,longitude,Kd_490
UTC,degrees_north,degrees_east,m-1
2020-09-16T00:00:00Z,31.395832,-80.89583,0.1464
2020-09-16T00:00:00Z,31.395832,-80.854164,0.128
2020-09-16T00:00:00Z,31.395832,-80.8125,0.1176
2020-09-16T00:00:00Z,31.354164,-80.9375,0.1502
2020-09-16T00:00:00Z,31.354164,-80.89583,0.1288
2020-09-16T00:00:00Z,31.354164,-80.854164,0.1182
2020-09-16T00:00:00Z,31.354164,-80.8125,0.1144
2020-10-16T00:00:00Z,31.437498,-80.9375,0.1706
2020-10-16T00:00:00Z,31.437498,-80.89583,0.147
2020-10-16T00:00:00Z,31.437498,-80.854164,0.1314
2020-10-16T00:00:00Z,31.437498,-80.8125,0.1172
2020-10-16T00:00:00Z,31.395832,-80.9375,0.1602
2020-10-16T00:00:00Z,31.395832,-80.89583,0.1432
